dataset,base,augmentation,seed,metric,value,wall_clock_s,peak_mem_mb
yelp,simgcl,llm_agr,2,ndcg@5,0.05459321,290.1,2417.7
yelp,simgcl,llm_agr,2,ndcg@10,0.06434659,290.1,2417.7
yelp,simgcl,llm_agr,2,ndcg@20,0.08131859,290.1,2417.7
yelp,simgcl,llm_agr,3,recall@5,0.04615493,163.5,2417.7
yelp,simgcl,llm_agr,3,recall@10,0.07810062,163.5,2417.7
yelp,simgcl,llm_agr,3,recall@20,0.12504723,163.5,2417.7
yelp,simgcl,llm_agr,3,ndcg@5,0.05404139,163.5,2417.7
yelp,simgcl,llm_agr,3,ndcg@10,0.06413268,163.5,2417.7
yelp,simgcl,llm_agr,3,ndcg@20,0.07989687,163.5,2417.7
yelp,simgcl,llm_agr,4,recall@5,0.04657932,245.9,2416.6
yelp,simgcl,llm_agr,4,recall@10,0.07913975,245.9,2416.6
yelp,simgcl,llm_agr,4,recall@20,0.12740814,245.9,2416.6
yelp,simgcl,llm_agr,4,ndcg@5,0.05467355,245.9,2416.6
yelp,simgcl,llm_agr,4,ndcg@10,0.06485956,245.9,2416.6
yelp,simgcl,llm_agr,4,ndcg@20,0.08092777,245.9,2416.6
yelp,simgcl,base,0,recall@5,0.04595311,231.9,585.4
yelp,simgcl,base,0,recall@10,0.07631492,231.9,585.4
yelp,simgcl,base,0,recall@20,0.12425593,231.9,585.4
yelp,simgcl,base,0,ndcg@5,0.05345911,231.9,585.4
yelp,simgcl,base,0,ndcg@10,0.06294249,231.9,585.4
yelp,simgcl,base,0,ndcg@20,0.07922426,231.9,585.4
yelp,simgcl,base,1,recall@5,0.04553773,243.4,585.4
yelp,simgcl,base,1,recall@10,0.07682856,243.4,585.4
yelp,simgcl,base,1,recall@20,0.12461221,243.4,585.4
yelp,simgcl,base,1,ndcg@5,0.05339529,243.4,585.4
yelp,simgcl,base,1,ndcg@10,0.06313692,243.4,585.4
yelp,simgcl,base,1,ndcg@20,0.07946404,243.4,585.4
yelp,simgcl,base,2,recall@5,0.04597012,325.0,585.4
yelp,simgcl,base,2,recall@10,0.0765894,325.0,585.4
yelp,simgcl,base,2,recall@20,0.12625887,325.0,585.4
yelp,simgcl,base,2,ndcg@5,0.05339862,325.0,585.4
yelp,simgcl,base,2,ndcg@10,0.06294581,325.0,585.4
yelp,simgcl,base,2,ndcg@20,0.07970004,325.0,585.4
yelp,simgcl,base,3,recall@5,0.04531557,369.2,585.4
yelp,simgcl,base,3,recall@10,0.07710055,369.2,585.4
yelp,simgcl,base,3,recall@20,0.1235528,369.2,585.4
yelp,simgcl,base,3,ndcg@5,0.05330559,369.2,585.4
yelp,simgcl,base,3,ndcg@10,0.06338916,369.2,585.4
yelp,simgcl,base,3,ndcg@20,0.07907626,369.2,585.4
yelp,simgcl,base,4,recall@5,0.04664267,323.8,585.4
yelp,simgcl,base,4,recall@10,0.07621455,323.8,585.4
yelp,simgcl,base,4,recall@20,0.12407621,323.8,585.4
yelp,simgcl,base,4,ndcg@5,0.05395633,323.8,585.4
yelp,simgcl,base,4,ndcg@10,0.06306993,323.8,585.4
yelp,simgcl,base,4,ndcg@20,0.07922497,323.8,585.4
